*	bg	Garden
*	bgm	Script_Fun
blank	-	-	제국력 518년 1월 18일, 하스켈 저택
lucius	-	루키어스	그 자세가 아니야, 루시안. 잘 봐.
lucian	-	루시안	어? 그런가?
lucius	-	루키어스	발 간격은 어깨 넓이의 두 배로, 휘두를 때는 팔을 곧게 펴야 힘이 들어가. 이렇게.
lucian	-	루시안	으으, 그렇게 하면 힘들잖아.
lucius	-	루키어스	검도가 당연히 힘들지. 엄살 부리면 안 돼. 아빠가 보면 어떻게 생각하겠어?
lucian	-	루시안	이렇게 하면 나도 형만큼 강해질 수 있을까?
lucius	-	루키어스	하하, 글쎄. 그럴지도 모르지?
lucian	-	루시안	......
lucius	-	루키어스	루시안?

*	bgm	Script_Tense
lucian	-	루시안	......그랬더니 형이 날 죽였잖아?
lucius	-	루키어스	......!!!

blank	-	-	(배경 : 암흑)
blank	-	-	(효과음 : 쿵)
lucius	-	루키어스	(공포)아아아아악!
blank	-	-	한동안 잠잠하다 싶었는데, 또 그 꿈을 꿨다. 그들을 만나기로 한 날이라 그런 걸까.
lucius	-	루키어스	오늘따라 네가 더욱 그립구나. 그들이 무슨 말을 하더라도 네가 돌아올 순 없는 것을.
blank	-	-	이미 잠기운은 완전히 달아나버렸다. 답답한 마음을 진정시키고자 밖에서 바람이라도 쐬는 게 나을 것이다.

*	bg	PartyRoom
blank	-	-	(효과음 : 문소리)
blank	-	-	방에서 나온 그의 눈에 가장 먼저 들어온 것은, 창가에 팔을 올린 채 바깥을 내다보고 있는 또 다른 동생이었다.
luvericha	-	루베리카	아, 오라버니.
blank	-	-	정상적으로 일어났다고 하기에는 너무 이른 시간이었지만, 아마 자신과 같은 이유였으리라.
lucius	-	루키어스	이런 시간에 무슨 일이야?
blank	-	-	하지만 정면으로 마주친 상황에서 아무 말도 하지 않고 지나가기는 어려웠기에, 알면서도 굳이 묻는다.
luvericha	-	루베리카	생각할 게 조금, 있었거든요.
blank	-	-	3년 전, 소중한 동생 루시안 하스켈을 죽게 만든 자들. 오늘은 황제의 명에 따라, 싫어도 그들과 마주해야만 한다……
luvericha	-	루베리카	안녕히 주무세요.
lucius	-	루키어스	......그래.
blank	-	-	그들은 정체를 알 수 없는 위험한 괴물을 키우고 있다. 그 사실은 자신이 직접 황제에게 전달했다. 비록 자신의 이상과는 다르지만 제국을 위해서 필요하다고 믿었기에.
lucius	-	루키어스	(무슨 생각인지는 도무지 알 수 없는 일이지만, 황제 폐하의 뜻이니 따르는 수밖에 없겠지……)
*	load_script	Scene#1-1
