blank,-,-,핀토스 일행 다섯 명이 오키드를 타고 하늘을 날아서 이동하고 있었따.,
reina,-,레이나,정말 이쪽 길이 맞을까요?,
yeong,-,영,"확신할 순 없지만, 가능성이 가장 높은 건 확실합니다. (지명?)에서 동족으로 가는 가도는 세 방향인데, 루펠리아가 목적지라면 북쪽이 훨씬 가까우니까요.",
sisterna,-,시스터나,까짓 거 불발이면 루펠리아에서 기다렸다가 털면 그만이죠!,
eren,-,에렌,그건 그래. 어차피 목적지도 같으니 너무 신경 쓸 필요는 없다고.,
blank,-,-,그 순간 제국군 제복을 입은 무리가 레이나의 시야에 들어왔다. 열 명 남짓한 숫자의 사람들이 지붕 없는 마차를 둘러싼 채 이동하고 있었다.,
reina,-,레이나,"잠깐, 저기 뭐가 있는데요?",
luvericha,-,루베리카,제국군이군요. 정찰이라도 하려는 걸까요?,
eren,-,에렌,우리가 모르는 사이에 전쟁이 벌어져서 유니티가 여기까지 밀린 게 아닌 이상 그럴 일은 없겠지. 여긴 유니티의 땅이라고.,
sisterna,-,시스터나,더 접근해서 살펴보는 게 좋겠네요. 조금 내려가는 게 어때요?,
blank,-,-,오키드의 비행 고도를 낮춰서 접근하자. 마차에 타고 있는 인물의 모습을 확인할 수 있었다. 그녀의 상징과도 같은 분홍색 머리색 머리는 완전히 헝클어진 상태로 온몸이 묶인 채 별다른 저항 없이 앉아 있었다.,
kashyasti,-,카샤스티,......,
sisterna,-,시스터나,"단순한 호송 임무라고 생각했는지, 지키는 머릿수가 많지는 않네요.",
eren,-,에렌,무기도 없고 완전히 제압돼서 묶여있는 한 명이 무너가 할 수 있을 거라고 생각하기는 어려웠겠지. 덕분에 일이 쉬워지겠는데?,
yeong,-,영,내려가면서 마법으로 선제공격을 하도록 하죠. 그 다음에 제가 앞장설 테니.,
